Date,Open,High,Low,Close,Adj Close,Volume
2010-05-19,0.893,0.893,0.893,0.893,0.893,0.0
2010-05-20,0.892,0.892,0.892,0.892,0.892,0.0
2010-05-21,0.892,0.892,0.892,0.892,0.892,0.0
2010-05-24,0.892,0.892,0.892,0.892,0.892,0.0
2010-05-25,0.882,0.882,0.882,0.882,0.882,0.0
2010-05-26,0.862,0.862,0.862,0.862,0.862,0.0
2010-05-27,0.882,0.882,0.882,0.882,0.882,0.0
2010-05-28,0.883,0.883,0.883,0.883,0.883,0.0
2010-05-31,0.884,0.884,0.884,0.884,0.884,0.0
2010-06-01,0.882,0.882,0.882,0.882,0.882,0.0
2010-06-02,0.823,0.823,0.823,0.823,0.823,0.0
2010-06-03,0.833,0.833,0.833,0.833,0.833,0.0
2010-06-04,0.862,0.862,0.862,0.862,0.862,0.0
2010-06-07,0.853,0.853,0.853,0.853,0.853,0.0
2010-06-08,0.843,0.843,0.843,0.843,0.843,0.0
2010-06-09,0.862,0.862,0.862,0.862,0.862,0.0
2010-06-10,0.862,0.862,0.862,0.862,0.862,0.0
2010-06-11,0.862,0.862,0.862,0.862,0.862,0.0
2010-06-14,0.862,0.862,0.862,0.862,0.862,0.0
2010-06-15,0.872,0.872,0.872,0.872,0.872,0.0
2010-06-16,0.862,0.862,0.862,0.862,0.862,0.0
2010-06-17,0.855,0.855,0.855,0.855,0.855,0.0
2010-06-18,0.862,0.862,0.862,0.862,0.862,0.0
2010-06-21,0.853,0.853,0.853,0.853,0.853,0.0
2010-06-22,0.853,0.853,0.853,0.853,0.853,0.0
2010-06-23,0.833,0.833,0.833,0.833,0.833,0.0
2010-06-24,0.869,0.869,0.869,0.869,0.869,0.0
2010-06-25,0.86,0.86,0.86,0.86,0.86,0.0
2010-06-28,0.892,0.892,0.892,0.892,0.892,0.0
2010-06-29,0.902,0.902,0.902,0.902,0.902,0.0
2010-06-30,0.853,0.853,0.853,0.853,0.853,0.0
2010-07-01,0.872,0.872,0.872,0.872,0.872,0.0
2010-07-02,0.872,0.872,0.872,0.872,0.872,0.0
2010-07-05,0.874,0.874,0.874,0.874,0.874,0.0
2010-07-06,0.882,0.882,0.882,0.882,0.882,0.0
2010-07-07,0.887,0.887,0.887,0.887,0.887,0.0
2010-07-08,0.96,0.96,0.96,0.96,0.96,0.0
2010-07-09,0.98,0.98,0.98,0.98,0.98,0.0
2010-07-12,0.99,0.99,0.99,0.99,0.99,0.0
2010-07-13,1.034,1.034,1.034,1.034,1.034,0.0
2010-07-14,1.052,1.052,1.052,1.052,1.052,0.0
2010-07-15,1.049,1.049,1.049,1.049,1.049,0.0
2010-07-16,1.015,1.015,1.015,1.015,1.015,0.0
2010-07-19,1.044,1.044,1.044,1.044,1.044,0.0
2010-07-20,1.029,1.029,1.029,1.029,1.029,0.0
2010-07-21,1.078,1.078,1.078,1.078,1.078,0.0
2010-07-22,1.02,1.02,1.02,1.02,1.02,0.0
2010-07-23,0.98,0.98,0.98,0.98,0.98,0.0
2010-07-26,0.96,0.96,0.96,0.96,0.96,0.0
2010-07-27,0.951,0.951,0.951,0.951,0.951,0.0
2010-07-28,0.945,0.945,0.945,0.945,0.945,0.0
2010-07-29,0.959,0.959,0.959,0.959,0.959,0.0
2010-07-30,0.941,0.941,0.941,0.941,0.941,0.0
2010-08-02,0.94,0.94,0.94,0.94,0.94,0.0
2010-08-03,0.939,0.939,0.939,0.939,0.939,0.0
2010-08-04,0.941,0.941,0.941,0.941,0.941,0.0
2010-08-05,0.941,0.941,0.941,0.941,0.941,0.0
2010-08-06,0.931,0.931,0.931,0.931,0.931,0.0
2010-08-09,0.931,0.931,0.931,0.931,0.931,0.0
2010-08-10,0.951,0.951,0.951,0.951,0.951,0.0
